 timespent    purchase  months
0     9.749627   26.984142    14.0
1    30.416766    5.916530    15.0
2     8.809746   35.502827    14.0
3    31.418008    9.820529    18.0
4    48.279014   18.359423     2.0
5    48.408497   18.272545     1.0
6    18.943654   95.859000    14.0
7    50.015731   20.140942     1.0
8    18.660009   27.425927    19.0
9    12.629886   95.795529     8.0
10   51.898346   26.812079     3.0
11   54.488133   21.963097     2.0
12   -3.664615   98.937504    14.0
13   10.768196   28.763534    16.0
14   32.101309   12.211052    17.0
15   56.182244   25.266023     1.0
16    7.304424   95.261546    14.0
17    6.063987   92.910182    12.0
18   29.143770   13.001520    17.0
19   16.710803   27.785647    17.0
20    5.614900   24.239796    21.0
21   29.131008    9.381656    15.0
22   30.754424   13.131048    15.0
23   12.200208   26.126622    15.0
24   12.889466  105.754421    23.0
25   31.667844   10.918360    15.0
26   46.333617   22.138995     1.0
27   33.693415   11.167856    14.0
28   10.228052   31.074369    21.0
29   14.595875   93.177228    16.0
30   32.906769   13.159144    14.0
31   50.978399   16.246659     5.0
32   13.676306   28.838902    16.0
33   46.086591   22.009018     3.0
34   31.300402    9.801648    19.0
35   28.647215   13.601881    15.0
36   31.754725    9.558072    15.0
37    6.406128   30.112725    15.0
38    4.340545   96.487701    16.0
39   54.066914   21.240305     8.0
40   51.868550   16.797139     2.0
41   12.173192   30.195440    15.0
42   50.811370   19.849286     1.0
43   34.326509    9.384444    15.0
44   55.494376   23.538320     1.0
45   21.102118   91.335292    25.0
46   28.895554   11.265864    15.0
47   10.478321   26.107724    20.0
48   51.552977   17.822769     3.0
49   11.305180   95.367495    16.0
50   14.833465   34.096250    17.0
51   52.229792   20.512596     1.0
52    5.484162  102.529769    21.0
53   51.183356   18.737047     3.0
54   48.044492   20.142196    -1.0
55   10.502306   29.307713    15.0
56   47.900823   20.641940     2.0
57   30.393110   12.063689    12.0
58   29.646106    8.403406    12.0
59   25.602388   10.880029    14.0
60   16.513586   28.483489    14.0
61   30.764819   10.332904    16.0
62    9.516207   31.678130    11.0
63   11.802853   99.478879    -3.0
64    5.414618   31.210542    12.0
65   29.626257    9.120538    18.0
66   30.850915    8.066048    15.0
67   11.946007   30.257898     7.0
68   27.946969   10.265939    14.0
69    5.788054  112.965947    10.0
70   49.181829   11.909340     2.0
71    8.226871   26.460789    14.0
72   11.393418   95.798482    10.0
73   50.055255   25.029312     3.0
74   13.377307   98.435761    15.0
75   51.616730   16.888262     1.0
76   32.106306    9.920890    16.0
77   51.443028   20.671652    -0.0
78   31.285446   12.658305    15.0
79   30.578337   14.910600    14.0
80   12.031343   32.153184    19.0
81   32.764318   11.297420    15.0
82   48.764369   18.537181     1.0
83   15.777914  105.694567    19.0
84   53.274521   23.738256    -4.0
85   49.811963   22.865427    -1.0
86   52.507076   16.610879     4.0
87   28.162696    7.991718    13.0
88   11.625776  102.051507     5.0
89   11.286791   27.327638    19.0
90   -0.603931   96.874395    16.0
91   51.414405   25.646073     6.0
92   55.628513   22.851272     0.0
93    6.612155   26.034431     6.0
94   32.107284    8.101202    20.0
95    5.585643   30.719577    21.0
96   33.595373   11.281686    14.0
97   23.060422  103.316830     2.0
98    9.331513   31.130320    14.0
99   12.811982  104.831008     7.0
100  48.719357   16.963687    -3.0
101   9.914273   93.719219    11.0
102  50.347024   23.537892     2.0
103  49.445294   18.431831     5.0
104  47.886969   15.774616    -3.0
105  13.996234  107.948959    17.0
106   2.563874  103.315147     4.0
107  32.216366    7.920188    16.0
108  28.636032    7.996760    14.0
109   4.590223   98.342270     7.0
110  30.798446   11.294392    14.0
111  10.935144   23.776417    16.0
112  21.054490  105.372043     7.0
113  53.503346   20.763263     3.0
114  47.665086   20.587536    -1.0
115   6.675383   95.426695    22.0
116  19.149999   88.747617    11.0
117   9.555096   26.384369    12.0
118  48.875538   22.132880     3.0
119  48.971937   18.885677    -2.0
120  28.858507    8.335289    16.0
121  11.378029  105.169266    11.0
122   9.583323   77.311129     3.0
123  28.875066   11.264815    17.0
124  49.221226   15.490571     1.0
125  10.041410   24.752655    11.0
126  30.991364   10.300838    16.0
127  11.568647  100.088147    11.0
128  13.036621   27.693958     5.0
129  47.063709   18.667120     3.0
130   9.390121   32.832435    19.0
131  30.534101   11.779262    15.0
132  10.058753   26.860407    18.0
133  30.119261    8.706126    16.0
134  44.889853   19.833357     3.0
135   7.444153   24.707641    22.0
136  12.711703   28.048354    24.0
137  47.408028   20.145565    -0.0
138   5.089569   32.389600    18.0
139  11.714766   96.451398     7.0
140   4.992874  104.757184     5.0
141  29.107133   10.388180    17.0
142  50.923405   14.869495    -2.0
143   8.653473  102.110831    10.0
144  49.191779   22.152627     7.0
145  32.297531    6.520572    14.0
